TERM,TERM_DESCR,INSTITUTION,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,CLASS_HDCNT,GRADE_HDCNT,INSTR_ROLE,NAME,JOBCODE_DESCR,INTERNET_ID
1255,Sum 2025,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,A-,16,3,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,mkitson
1255,Sum 2025,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,B,16,1,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,mkitson
1255,Sum 2025,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,B+,16,1,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,mkitson
1255,Sum 2025,UMNDL,UMNDL,ACCT,3797,001,Internship in Accounting,C-,16,1,PI,"Kitson,Marte Christofa Thabes",SS Pro 5,mkitson
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,A,44,16,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,A-,44,5,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B,44,4,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B+,44,7,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,B-,44,5,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C,44,2,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C+,44,2,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,C-,44,1,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,D,44,1,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ACCT,5101,020,Intermediate Accounting I,W,44,1,PI,"Johnson,Scott",Senior Lecturer,joh20235
1255,Sum 2025,UMNTC,UMNTC,ADDS,6015,001,Social and Cultural Diversity,A,18,17,PI,"Hegblom,Tom",Lecturer,hegbl003
1255,Sum 2025,UMNTC,UMNTC,ADDS,6015,001,Social and Cultural Diversity,A-,18,1,PI,"Hegblom,Tom",Lecturer,hegbl003
1255,Sum 2025,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,A,16,14,PI,"Karim,Fiyyaz Allaui Anoor Ibn",Senior Lecturer,kari0057
1255,Sum 2025,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,A-,16,1,PI,"Karim,Fiyyaz Allaui Anoor Ibn",Senior Lecturer,kari0057
1255,Sum 2025,UMNTC,UMNTC,ADDS,6021,001,Counseling Skills: Group,B,16,1,PI,"Karim,Fiyyaz Allaui Anoor Ibn",Senior Lecturer,kari0057
1255,Sum 2025,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",A,10,7,PI,"Weigelt,Jennifer E",Senior Lecturer,jweigelt
1255,Sum 2025,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",A-,10,2,PI,"Weigelt,Jennifer E",Senior Lecturer,jweigelt
1255,Sum 2025,UMNTC,UMNTC,ADDS,6025,001,"Counseling Skills: CBT, MI",B+,10,1,PI,"Weigelt,Jennifer E",Senior Lecturer,jweigelt
1255,Sum 2025,UMNTC,UMNTC,ADDS,6031,001,Foundations  Assmt and Treatmt,A,18,16,PI,"Roberts,Kenneth L",Lecturer,rober843
1255,Sum 2025,UMNTC,UMNTC,ADDS,6031,001,Foundations  Assmt and Treatmt,A-,18,1,PI,"Roberts,Kenneth L",Lecturer,rober843
1255,Sum 2025,UMNTC,UMNTC,ADDS,6031,001,Foundations  Assmt and Treatmt,W,18,1,PI,"Roberts,Kenneth L",Lecturer,rober843
1255,Sum 2025,UMNTC,UMNTC,ADDS,6035,001,Research & Evaluation Methods,A,17,12,PI,"Hall,Eugene Lloyd",Lecturer,hall0907
1255,Sum 2025,UMNTC,UMNTC,ADDS,6035,001,Research & Evaluation Methods,A-,17,1,PI,"Hall,Eugene Lloyd",Lecturer,hall0907
