TERM,CAMPUS,SUBJECT,CATALOG_NBR,CLASS_SECTION,DESCR,CRSE_GRADE_OFF,GRADE_HDCNT,HR_NAME,INTERNET_ID,FULL_NAME
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,A,6,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,A-,1,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,B,1,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,B+,1,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,B-,1,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3011,500,The Birth of Modern Art,C+,1,Unknown Instructor,,BCLA 3011
1235,UMNTC,BCLA,3375,500,Global Internship: Barcelona,A,6,Unknown Instructor,,BCLA 3375
1235,UMNTC,BCLA,3375,500,Global Internship: Barcelona,A-,3,Unknown Instructor,,BCLA 3375
1235,UMNTC,BCLA,3375,500,Global Internship: Barcelona,B,1,Unknown Instructor,,BCLA 3375
1235,UMNTC,BIOC,3021,002,Biochemistry,A,2,Robert Evans,evans858,BIOC 3021
1235,UMNTC,BIOC,3021,002,Biochemistry,A-,1,Robert Evans,evans858,BIOC 3021
1235,UMNTC,BIOC,3021,002,Biochemistry,B,4,Robert Evans,evans858,BIOC 3021
1235,UMNTC,BIOC,3021,002,Biochemistry,B+,1,Robert Evans,evans858,BIOC 3021
1235,UMNTC,BIOC,3021,002,Biochemistry,C+,2,Robert Evans,evans858,BIOC 3021
