Term,DEEP_UND,STIM_INT,TECH_EFF,ACC_SUP,EFFORT,GRAD_STAND,RECC,RESP,FULL_NAME
Spr 2022,5.59,4.95,5.55,5.55,5.64,5.68,5.39,167,ACCT 3001
Fall 2022,4.92,4.17,5.04,5.0,4.65,5.09,4.48,205,ACCT 3001
Spr 2023,5.52,4.87,5.45,5.42,5.53,5.34,5.23,203,ACCT 3001
Sum 2023,5.46,5.07,5.5,5.57,5.54,5.61,5.5,28,ACCT 3001
Fall 2020,5.24,4.89,5.37,5.2,5.22,5.07,5.26,54,ACCT 3201
Spr 2021,4.87,4.76,5.05,5.01,5.06,4.99,4.96,67,ACCT 3201
Fall 2021,5.04,4.74,5.13,5.07,5.3,5.06,5.13,54,ACCT 3201
Spr 2022,4.88,4.63,5.32,4.79,5.33,5.25,5.04,24,ACCT 3201
Fall 2022,5.21,5.13,5.36,5.33,5.48,4.87,5.46,70,ACCT 3201
Spr 2023,5.4,5.15,5.46,5.59,5.34,5.22,5.43,50,ACCT 3201
Fall 2020,5.39,4.76,5.35,5.27,4.92,5.4,5.06,130,ACCT 5101
Spr 2021,5.18,4.54,5.28,5.18,4.37,5.3,4.7,98,ACCT 5101
Sum 2021,5.81,5.43,5.86,5.76,5.48,5.67,5.67,21,ACCT 5101
Fall 2021,5.34,4.71,5.28,5.26,4.91,5.36,4.93,135,ACCT 5101
Spr 2022,5.58,4.86,5.4,5.41,5.01,5.47,5.07,84,ACCT 5101
Fall 2022,5.55,5.08,5.51,5.58,5.11,5.57,5.21,132,ACCT 5101
Spr 2023,5.38,4.94,5.35,5.42,4.98,5.46,5.11,123,ACCT 5101
Sum 2023,5.0,6.0,6.0,6.0,6.0,6.0,6.0,2,ACCT 5101
Fall 2020,4.79,4.04,4.62,4.44,4.05,4.41,3.85,82,ACCT 5102
Spr 2021,4.91,4.53,4.89,4.68,4.6,4.67,4.48,45,ACCT 5102
Fall 2021,5.62,5.37,5.46,5.58,5.47,5.6,5.56,62,ACCT 5102
Spr 2022,4.48,3.8,4.08,3.88,3.88,4.8,3.68,25,ACCT 5102
Fall 2022,5.66,5.34,5.73,5.76,5.63,5.78,5.51,41,ACCT 5102
Spr 2023,5.48,5.24,5.42,5.56,5.12,5.44,5.29,25,ACCT 5102
Fall 2020,5.57,5.34,5.2,5.37,5.51,5.63,5.59,35,ACCT 5125
Spr 2021,5.35,4.94,5.39,5.16,5.31,5.44,5.28,32,ACCT 5125
Sum 2021,4.0,4.75,4.5,5.0,5.25,3.25,5.0,4,ACCT 5125
Fall 2021,5.18,4.9,4.95,5.15,5.46,5.26,5.08,39,ACCT 5125
Spr 2022,5.5,5.35,5.55,5.7,5.75,5.75,5.7,20,ACCT 5125
Fall 2022,5.69,5.46,5.28,5.54,5.58,5.58,5.69,26,ACCT 5125
Spr 2023,5.19,4.96,5.07,5.19,5.41,5.22,5.23,27,ACCT 5125
